number,date,state,g/r,g,r,name,img,age,how,kbp_link,news_link_text
1208,"December 31, 2015",NV,M/B,M,B,Keith Childress,"""http://www.killedbypolice.net/victims/151199.jpg""",23,G,"""http://facebook.com/KilledByPolice/posts/1166336396727829""","""http://www.reviewjournal.com/news/las-vegas/metro-police-shoot-kill-wanted-man-west-valley"""
1207,"December 30, 2015",WY,M/W,M,W,John R. Veach,"""http://www.killedbypolice.net/victims/151198.jpg""",39,G,"""http://facebook.com/KilledByPolice/posts/1166343966727072""","""http://trib.com/news/state-and-regional/rawlins-police-shooting-under-investigation/article_771d9961-9165-5823-b9f8-d0f5e04ccfa5.html"""
1206,"December 30, 2015",CA,M/L,M,L,Fred Perez,"""http://www.killedbypolice.net/victims/151197.jpg""",55,G,"""http://facebook.com/KilledByPolice/posts/1165404896820979""","""http://abc30.com/news/1-man-dead-after-an-officer-involved-shooting-in-central-fresno/1140600/"""
1205,"December 29, 2015",CA,M/A,M,A,Tien Hua,,33,G,"""http://facebook.com/KilledByPolice/posts/1165412870153515""","""http://www.nbclosangeles.com/news/local/barricade-rosemead-armed-man-strang-neighbors-evacuated-363780121.html"""
1204,"December 29, 2015",CA,F/PI,F,PI,Siolosega Velega-Nuufolau,"""http://www.killedbypolice.net/victims/151192.jpg""",50,G,"""http://facebook.com/KilledByPolice/posts/1164954176866051""","""http://www.fresnobee.com/news/local/crime/article52044185.html"""
1203,"December 29, 2015",FL,M/W,M,W,Paul Testa,"""http://www.killedbypolice.net/victims/3076.jpg""",44,TR,"""http://facebook.com/KilledByPolice/posts/1166216616739807""","""http://www.news4jax.com/news/local/jacksonville/man-hit-with-taser-gun-in-jail-dies-at-hospital"""
1202,"December 28, 2015",VA,M/W,M,W,Corey J. Achstein,"""http://www.killedbypolice.net/victims/151191.jpg""",28,G,"""http://facebook.com/KilledByPolice/posts/1164762146885254""","""http://www.suffolknewsherald.com/2015/12/28/police-investigate-officer-involved-shooting/"""
1201,"December 28, 2015(1200",PR,F/LF/LM/L,F,LF,Luz M. Soto Segarra,"""http://www.killedbypolice.net/victims/151190.jpg""","49</a><a href=""http://www.killedbypolice.net/victims/151189.jpg"">Rosario Hernández de Hoyos",GGG,"""http://facebook.com/KilledByPolice/posts/1164381793589956""","""http://www.wdsu.com/national/urgent-puerto-rico-police-officers-killed/37157396"""
1198,"December 28, 2015",AZ,M/W,M,W,Sean Mould,"""http://www.killedbypolice.net/victims/151187.jpg""",34,G,"""http://facebook.com/KilledByPolice/posts/1164368056924663""","""http://www.phoenixnewtimes.com/news/tempe-police-fatally-shoot-drunk-knife-wielding-man-to-cap-year-of-officer-involved-shootings-dominating-national-discourse-7927952"""
1197,"December 27, 2015",MS,M  ,M,unknown,Michael A. Parker,,36,G,"""http://facebook.com/KilledByPolice/posts/1163833746978094""","""http://www.sunherald.com/news/local/crime/article51784755.html"""
1196,"December 26, 2015",AZ,M  ,M,unknown,Lonnie Niesen,"""http://www.killedbypolice.net/victims/151185.jpg""",41,G,"""http://facebook.com/KilledByPolice/posts/1162811663746969""","""http://www.azcentral.com/story/news/2015/12/26/phoenix-police-shooting/77923810/"""
